time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-7.64308323238873e-07,-1.0431176906682486e-07,10.005942963281683,6.282955319279221,0.0005356059325016815,0.0,-6.16223753828311e-05,-1.5266426936936124e-05,0.19808452245047947,-0.012882979437768184,0.022545062758575103,0.0,466.5847084824176,468.3411184972179,467.01036232557766,466.00466107553746
0.12000000000000001,-1.9156658281903255e-05,-8.039191462215284e-06,10.018964587931285,6.282173439380868,0.0017161092429631708,0.0,-0.0006696780958878949,-0.0003213786874163697,0.23596205548394128,-0.013329690624859506,0.013209259579491659,0.0,417.2805642090986,416.46492886475596,416.69411835709764,416.6551780681653
0.18,-9.85833132031889e-05,-5.174737093425137e-05,10.036581698478326,6.280945878808364,0.002310953667085336,0.0,-0.002051185598549208,-0.0012344847855381615,0.35124560676825933,-0.04118051161195771,0.0023389615091198787,0.0,442.02603767855805,441.1293613238307,443.16397975819416,440.86907297651265
0.23999999999999996,-0.0002761018573940849,-0.00018839637391702377,10.063174035753088,6.278361223508361,0.002699873196410074,0.0,-0.003897447820269279,-0.0036091951748019255,0.5350960829201071,-0.04716948197770317,0.01369390406999284,0.0,462.82554962120224,463.71814324609863,462.76245819154843,462.28990824403456
0.3,-0.0005780752303141435,-0.0005327736193812748,10.101507322359774,6.275231157702438,0.0031350060538644087,0.0,-0.006247874999324694,-0.008217826194388891,0.7425658209664814,-0.06472955390389493,-0.010516301130072537,0.0,470.1041561537334,468.22465777435036,471.7047340422834,470.34523522717143
0.36000000000000004,-0.0010231879419393775,-0.0012272204580787613,10.15166497940408,6.2716588106693845,0.0021020316101063585,0.0,-0.008499517607848998,-0.015355489300426841,0.9292190336788744,-0.05078318471326933,-0.03604641041007782,0.0,465.78166324371836,463.781056330467,463.0234627285714,464.11679524114476
0.4200000000000001,-0.0015661038226891957,-0.002382568088718115,10.209127072931471,6.2687832864924005,6.283104381169384,0.0,-0.009389818547963627,-0.023438188993279468,0.9861330612913237,-0.04274949321356204,-0.03706352170520129,0.0,423.4563065921624,423.3681402106479,424.07537116144795,424.7632583971549
0.48000000000000015,-0.0021194521609133434,-0.004095366030624769,10.271307490813607,6.2669677046481365,6.281029728913456,0.0,-0.008836248325275298,-0.03386963205100754,1.0864536185917637,-0.012772578796838054,-0.03002001844850286,0.0,437.7578204425049,438.3429300286043,436.7434252262744,439.23574654398834
0.5400000000000001,-0.002587225379895327,-0.0065375050164305105,10.34393665359694,6.26668320477318,6.278804912900291,0.0,-0.006515236043584962,-0.04759160405859662,1.3342608017977868,0.007795423920937984,-0.05747985173817044,0.0,483.2770813109599,481.20240952349167,482.45067969782673,484.0010366039059
0.6000000000000002,-0.0028768136626134,-0.009724245959988121,10.426519785506034,6.267331995818143,6.275343127818168,0.0,-0.0027938575081156696,-0.05857530218668958,1.4184082182891533,0.016252645337308455,-0.05813292040801303,0.0,433.025788518191,432.9684555023941,433.95936626195436,434.6685060146974
0.6600000000000003,-0.002865585805953516,-0.013569469549990712,10.515063926517364,6.267896254437808,6.272080972239319,0.0,0.0035174648224400576,-0.06951045811985003,1.5329144237540173,-0.010064310644749403,-0.0477440759527457,0.0,443.3922098119798,444.24279374778513,444.2724282065788,442.109525447001
0.7200000000000003,-0.0023908262412141,-0.018088805061361495,10.612035406215641,6.266786312222937,6.2689872192769,0.0,0.01263674812855482,-0.08121411430781937,1.6992301952555764,-0.04631990981243484,-0.0605664528591622,0.0,460.39943155134426,459.3822287278749,461.1082755446546,458.2353396269175
0.7800000000000004,-0.0013253650081321822,-0.023310220263305145,10.716983228987884,6.264670695946148,6.265196221367706,0.0,0.02325426543544345,-0.09307377532329035,1.798868211559062,-0.019251266118242582,-0.06900818145934041,0.0,439.4486928834625,438.74545032368957,439.1411970585921,441.37994069024677
0.8400000000000004,0.00039211472527654574,-0.02921650574302572,10.824428571554378,6.2633087253257695,6.260896955498662,0.0,0.03435293956113491,-0.10390876280860564,1.7826590465557195,-0.03068439242497521,-0.07755209186975796,0.0,402.00151136473266,401.2220204494305,402.363465713616,401.3270094060874
0.9000000000000005,0.0029519393286802143,-0.03588662950429727,10.935258490870892,6.261225478013305,6.256093394862209,0.0,0.051471650581979195,-0.11863130304911267,1.911447519839288,-0.044347161976895026,-0.08561183287588488,0.0,449.4616994351514,448.80294769761235,449.69325642291864,448.5846955820871
0.9600000000000005,0.006638045710041581,-0.04348263137124673,11.053595539861172,6.259058536638896,6.251001021713623,0.0,0.07193060737455714,-0.13481394157234058,2.032889493338345,-0.023335268816922307,-0.0834354284984398,0.0,446.6857338717414,446.8572989368251,447.0577959070125,448.7658205658282
1.0200000000000005,0.011673805373149722,-0.05210199091457441,11.179651299566574,6.257240495173626,6.245468368664088,0.0,0.09647161937558553,-0.15265799877166777,2.1686959584256202,-0.05027673527832015,-0.12238256254102603,0.0,453.26390532929577,450.1152640589526,453.9614359344643,451.79411710159127
1.0800000000000005,0.018267407752885823,-0.06180773850214183,11.312704775768545,6.25413029857706,6.238035074903081,0.0,0.12405839577296694,-0.1711724442367079,2.2661891242716066,-0.05515333080181562,-0.12708029481248037,0.0,441.05766859015273,440.655442360503,441.2187978156362,440.81425658000217
1.1400000000000006,0.026985461996952703,-0.07289069534050241,11.458385041430224,6.2504472505602635,6.231052955911913,0.0,0.16748976230665705,-0.19870394790894033,2.589078970680131,-0.07830553725379824,-0.10074267805980146,0.0,506.9794864790032,508.85755738541843,508.30748526780394,506.64333302503695
